,tweet,label,prediksi
64,"Nanti kalo diundang kpk bakal hadir gak pak?
dengan catatan gak boleh dianter.",0,negatif
65,"Ketika DEMOKRASI ada rasa TAKUT BICARA, itu tanda TIDAK SEHAT. @aniesbaswedan Presiden, pasal2 yg hambat kbebasan berekspresi akan direvisi. Insyaa Allah #2024AniesPresiden !  

#BeritaBaikAniesBaswedanUntukIndonesia #Pilpres2024AniesMenang #PradaNusantara #2024AniesPresiden",1,positif
66,"Jadi kesimpulannya, kapan kembalikan tunjangan ASN DKI yg dipinjam, bgm cara pengembaliannya? 

Ah, ngak ada solusi, hanya kata2 manies saja. 

🤣🤣",0,negatif
67,"Kelebihan rumputnya...
😀😀😀",0,negatif
68,Jaman gub bagi2 duit hibah ke pendukungnya... ga yakin berani,0,negatif
69,@aniesbaswedan memang tampil sgt cemerlang pd Kuliah Kebangsaan di UI. Tapi pendukung AB &amp; pro perubahan jgn gembira dulu krn masih ada 2 capres lg yg blm tampil yi @ganjarpranowo &amp; @prabowo. Jgn2 GP atau PS08 jauh lbh hebat. Kita tunggu sj dulu.,1,positif
70,"Yang dulu dukung 02, sekarang pun tetap pada aspirasinya ('PERUBAHAN'). Namun sekarang siapa iconnya?
Pak @aniesbaswedan lebih pas untuk hal tersebut 👍",0,negatif
71,Dua tokoh yg gagal dibidangnya masing2.,0,negatif
72,Hasil kerja WAN jembud bin Yaman kelebihan bayar,0,negatif
73,Fitnah aja tros. Lo pikir kalau mati malah masuk partai? Kgk bos. Lu masuk kuburan 🤣,0,negatif
74,"Pengaduan di balai kota Jakarta, tutup.
Sungai dikeruk perintah pengadilan.
Anak terlantar, putus sekolah meningkat.
Kemiskinan bertambah.
Yg tuli bukan rakyat, tapi pejabatnya.",1,positif
75,"Semoga bener bener bisa bermanfaat untuk keberlangsungan dalam mengantrkan bapak @aniesbaswedan menjadi RI 1,,",1,positif
76,"TEKNIS itu biasa 
Benda mati
Yang hidup aja 
Otak nya mati
@aniesbaswedan",0,negatif
77,Mari ngimpi Indah ..,0,negatif
78,"Ternyata anak UI itu tak semua pinter, ada juga yg bodoh spt penanya itu, apa dia tak tanya ke bapak nya lbh dulu gimana keadaan yg sebenarnya, atau bapak nya yg Asn itu pendukung Ganjar",0,negatif
79,Mekanismenya? @aniesbaswedan,0,negatif
80,"Suara partai pro-Prabowo tertinggi dengan 39%, Ganjar Pranowo dengan 25,2%, dan Anies Baswedan dengan 14,55%.
https://t.co/VEyUBY5vhE",2,neutral
81,Si orang berduit. Gak tahu kalau banyak Maba yg mundur karena tak sanggup bayar UKT.,0,negatif
82,raja ngedabrus,0,negatif
83,"𝙿𝚊𝚔 @aniesbaswedan  𝚜𝚍𝚑 𝚝𝚎𝚛𝚋𝚊𝚗𝚐 𝚔𝚎𝚖𝚊𝚗𝚊-𝚖𝚊𝚗𝚊, 𝚌𝚊𝚙𝚛𝚎𝚜𝚖𝚞 𝚖𝚜𝚑 𝚜𝚓 𝚜𝚒𝚋𝚞𝚔 𝚓𝚞𝚊𝚕𝚊𝚗 𝚏𝚘𝚝𝚘 𝚓𝚘𝚔𝚘𝚠𝚒.. 🤣
𝙳𝚊𝚑 𝚐𝚒𝚝𝚞 𝚔𝚊𝚞 𝚋𝚊𝚗𝚐𝚐𝚊𝚒𝚗 𝚙𝚞𝚕𝚊, 𝚐𝚘𝚋𝚕𝚘𝚔 𝚋𝚘𝚕𝚎𝚑 𝚝𝚙 𝚓𝚐𝚗 𝚐𝚒𝚗𝚒 𝚊𝚖𝚊𝚝𝚕𝚊𝚑 𝚍𝚞𝚔 𝚑𝚘𝚖𝚘.",0,negatif
84,Semoga Allah meridhoi pak Anies menjadi presiden th 2024. Aamiin yra,1,positif
85,Om² masih banyak di negeri ini yang gak bisa lanjut kuliah karena terkendala biaya.,1,positif
86,"halaaaahhhhh raja gombal, MULUTNYA LEBAR KERJA NOL",0,negatif
87,"biasanya kalau di ajak ketemu offline yg punya akun itu langsung CIUT nyali nya, cuma berani berkoar di medsos, alias PENGECUT",1,positif
88,Hebat itu dilihat dr kinerjanya..bukan dr polesan hulubalangnya...😂😂,0,negatif
89,Mantan Mendikbud lho🤣🤣🤣🤣🤣,0,negatif
90,"Betul,,, debat sia sỉa,,, itu anis kan râja debat,,,",1,positif
91,"Pendidikan dasar kita PR nya masih banyak, wajib belajar 12 tahun susah dicapai kalau sekolahnya aja terbatas jumlahnya (kekurangan sekolah SMP dan SMA).",0,negatif
92,Jd inget kelebihan bayar..,0,negatif
93,"Memangnya @aniesbaswedan waras, kasus di Paramadina lari, belum masalah buku ketika katanya menteri pendidikan, kasus pohon gakbener.",0,negatif
94,"Betul, dulu pak @basuki_btp sudah pernah bilang seperti itu..ada di youtube. 
Tapi diingat2 lagi waktu itu ada dugaan korupsi di pameran buku di Jerman kalau ga salah, tapi kasus menguap. Atau mungkin itu lebih bayar? Agak lupa waktu itu dugaan nya thdp siapa gitu.",0,negatif
95,Sulit karena susah mendapatkan perluasan dukungan pemilih dan malah mempersempit segmen pemilih pak Anies  Baswedan,1,positif
96,Karna anda benci jadi tidak tai sama sekali,0,negatif
97,Mahasiswa berhati cuan😁,1,positif
98,"Dr dulu kali. Anies emang pinter berkata2... Sepaham ma rocky gerung,, soal praktek.. Yaa qt semua tau 🤣",0,negatif
99,"Saat pa Anies menjadi presiden nanti , alam demokrasi indonesia pasti cerah, tak lagi ketakutan berpendapat dan mengkritisi membangun . Track record lah yg menjadi bukti shahih selama ini sperti apa pa Anies",1,positif
100,Coba periksa ke bengkel hati ...banyak Ustadz/kyai/ulama yg buka jasa...mungkin yg bermasalah bukan di Gus Arifin tapi di hati anda,1,positif
101,harusmya bisa ditiru oleh semua kampus besar,0,negatif
102,"Luar biasa... pertanyaan2 yg begitu kritis dari para Mahasiswa yg otaknya segar. Untung saja pertanyaan2 itu ditujukan kpd orang yg cerdas 
Pak Anies Baswedan shgga bisa dijawab dgn tepat, coba ditanyakan kpd org yg ijazahnya palsu... pasti plonga plongo ngejawabnya.",1,positif
103,𝐒𝐞𝐛𝐚𝐫𝐤𝐚𝐧 𝐤𝐞 𝐬𝐞𝐥𝐮𝐫𝐮𝐡 𝐑𝐚𝐤𝐲𝐚𝐭 𝐈𝐧𝐝𝐨𝐧𝐞𝐬𝐢𝐚. 𝐒𝐚𝐚𝐭 𝐢𝐧𝐢 𝐤𝐢𝐭𝐚 𝐛𝐮𝐭𝐮𝐡 𝐏𝐞𝐦𝐢𝐦𝐩𝐢𝐧 𝐬𝐞𝐩𝐞𝐫𝐭𝐢 𝐏𝐚𝐤 @aniesbaswedan 𝐩𝐮𝐧𝐲𝐚 𝐠𝐚𝐠𝐚𝐬𝐚𝐧 𝐝𝐚𝐧 𝐩𝐢𝐤𝐢𝐫𝐚𝐧 𝐁𝐞𝐬𝐚𝐫 𝐭𝐭𝐠 𝐈𝐧𝐝𝐨𝐧𝐞𝐬𝐢𝐚.,0,negatif
104,Kali @aniesbaswedan ngomong soal masalah YANG dulu waktu jadi gabener NGFA BECUS ngurusnya yaaa DJ CROOTIN aja laahh..manusia bodoh dan PEMBUAL ngga usah didengerin😎,0,negatif
105,"Bunga Utangnya aja 500 triliun, Mukidi yang nilep rakyat yang suruh bayar. Ora urus.",0,negatif
106,jadi presiden itu yg dibutuhkan kinerjanya woy bukan pidato atau bacod doang kyk si @aniesbaswedan,1,positif
107,"Kalau yg berharap respon dan kerja sat set..cepat, quick respon...Pak @aniesbaswedan kalau dari track record selama gubernur sepertinya kurang tepat pilihannya.",0,negatif
108,"Insya Allah 2024.. Presiden baru
Saya yakin Pak Anies Baswedan",1,positif
109,Panas hati bong?? 😂😂,1,positif
110,kenapa adem banget ya liat bapak ini .. sehat terus bah 🤲,1,positif
111,"Jangan kyak yg Ono ya....ekonomi meroket,lapangan pekerjaan jutaan....ternyta zonk.",0,negatif
112,"#BuzzeRp pemecah belah bangsa yg seperti mendapat kekebalan hukum. Semoga Allah balas siapapun yg membekingi mereka. 

Cc @DivHumas_Polri @KejaksaanRI @MahkamahAgung @KomisiYudisial @MUIPusat @republikaonline @tempodotco @kompascom @PKSejahtera @NasDem @PDemokrat @aniesbaswedan",1,positif
113,"Gratis pala lu peyang..! denger penjelasan prof mahfud md ga, gratis gratis...",1,positif
114,"Anies Baswedan raja politik identitas
#TenggelamkanAniesBaswedan",1,positif
115,"Anies Baswedan lakukan politik licik, masjid di jadikan tempat Politik",1,positif
116,"Anies Baswedan lakukan politik cara licik
#TenggelamkanAniesBaswedan",1,positif
117,Cuma BuzzeRp baru netes yg berani jadi haters @aniesbaswedan kalau BuzzeRp senior sudah paham berat melawan Bukti dan Kesuksesan Anies sebagai Gubernur DKI Jakarta. Kalau BuzzeRp baru Netes memang bodoh Ijazahnya aja Palsu.,0,negatif
118,"apakah @aniesbaswedan bisa menjadi seperti ini?? jelas tidak bisa. karna sebagian dari kepala prov. itu ada yg sudah 2 periode,anies blum dua periode.

apakah @prabowo bisa?? jelas tidak mungkin ktna dia tidak pernsh mmpin teritorial wilayah.",0,negatif
119,"Kegagalan Anies Baswedan saat menjabat Gubernur
#TenggelamkanAniesBaswedan",0,negatif
120,@aniesbaswedan sendiri? banyak bikin yg hoax ?! pidato nyontek dan bilang kejadian skrg pdhl SDH lama .apa itu bukan hoax?dan bikin kata kata lapis untuk rumah .. apa itu bukan hoax?,0,negatif
121,"Ni cr pendung2 @ganjarpranowo  dan @prabowo  otak kosong aklak biadab dan norak.. 
Gk substantif dan tong kosong semua. Hanya @aniesbaswedan  yg sdh sampaikan gagasan  sjk dlu sampqi skrg. dia siap terima tantangan 2 capres di atas berdevat di Kampus2. Ni Ditakuti oleh @TeddGus",0,negatif
122,"Alhamdulillah, menurut saya beliau selera mayoritas sebab terbukti ke daerah manapun beliau datang disambut antusis, oleh golongan dan agama manapun beliau diundang. MasyaAllah.",1,positif
123,"Hanya postingan kaum kiri pembenci Pak Anies, saya rasa tidak penting sama sekali, biasalah Pak Anies selalu difitnah para buserRp",0,negatif
124,"@yamahaindonesia  kalo adu balap sama @Official_PAN kira2 siapa yg bakal menang?

--
Jelas... @aniesbaswedan lah....",1,positif
125,"Partai Garuda 
Partai gak jelas yg gak akan pernah bisa masuk parlemen 😝",0,negatif
126,"Kalau mau dikomen bener, rekam jejak harus bener. Peninggalan anda @aniesbaswedan yang paling bagus itu cuma Jaklingko, selain itu di bawah dari biasa-biasa aja.",1,positif
127,Indonesia sangat membutuhkan @aniesbaswedan,1,positif
128,Tanpa dibeli pun. Hak pengelolaannya akan segera habis dan kembali gratis ke NKRI. Pake tuh otak dan sejak kapan kepemilikan kita cuma 2%,0,negatif
129,"Hai kamu kamu para pembenci, yang nyebut jimat kan golonganmu golongan kiri kaum pembenci, Abah Aos dan Pak Anies tidak pernah menyebut jimat, kamu juga tidak tahu apa yang Abah Aos berikan",0,negatif
130,"Cc in Pak @aniesbaswedan , kalo bapak jadi presiden, tolong beliau angkat jadi menteri lagi.",1,positif
131,Budiman sudjatmiko bergabung dengan WOWO tujuannya untuk lunasin hutang,0,negatif
132,Gmn mau invest budaya klu proyek gedung Taman Ismail Marjuki saja dikorup..?,0,negatif
133,Dah wafat dalam kedunguan hahaha,0,negatif
134,"Setelah menemui Ketua Umum Nasdem Surya Paloh kemarin, Anies Baswedan dan Tim Delapan Temui SBY  di Cikeas. Sementara Ganjar Pranowo hadiri Apel Siaga di Semarang untuk singsingkan lengan baju menangkan Pilpres 2024. #Polhuk #AdadiKompas 

https://t.co/n5e23Toi1n",2,neutral
135,"Aslinya bankir ini, nggak ahli2 banget si cuma ya karena bener aja, orang bagus di tempatkan dimanapun tetap bagus, salah satu orang yg masuk priority list di kabinet @aniesbaswedan harusnya buat ngurusi transportasi publik",0,negatif
136,Hasil revitalisasi TIM lebih berkelas sebaliknya seniman itu kelasnya hahaha,0,negatif
137,Tiati dok,1,positif
138,"Ngabisin pelor aja.....
Gak Bakan naik barang tu....
Ada wowok .....

Bergabung aja ke yg lain.

Habis3 an tak ada guna.",0,negatif
139,Istilah OK OCE emg istilah lucu2an karya Sandiaga Uno.. tp konsepnya bagus dan telah berjalan.. konsep ini berhasil diimplementasikan dgn nama yg lbh serius yaitu Jakpreneur.. lo aja yg kurang literasi..,1,positif
140,"Anies baswedan adalah anugerah terbaik untuk memimpin Indonesia , sipil, cerdas, muslim taat, humble sederhana, komunikator ulung , orator fasih bhs Inggris. ..... paham ekonomi paham pendidikan paham perkotaan muda segar sehat energik",1,positif
141,"Ayo anak muda pemilik masa depan bangsa Kita songsong perubahan Indonesia menjadi negara besar dunia dgn Pak Anies menjadi presidennya, Maju negaranya bahagia rakyatnya",1,positif
142,BEGINI Tanggapan Anies Baswedan Ketika Sandiaga Uno ingin Rangkul Partai Demokrat dan PKS https://t.co/lgT5NcnZAg,1,positif
143,"Berbanding terbalik dengan  Pengerjaan Proyek 𝕁𝕀𝕊 𝐲𝐠 𝐃𝐢𝐤𝐨𝐦𝐚𝐧𝐝𝐨𝐢 𝐏𝐚𝐤 @aniesbaswedan Di tangan Pak Anies, Indonesia jadi Negara Mandiri dan Tidak dijajah Asing berkedok Investasi.",1,positif
144,"Setelah menemui Ketua Umum Nasdem Surya Paloh kemarin, Anies Baswedan dan Tim Delapan Temui SBY  di Cikeas. Sementara Ganjar Pranowo hadiri Apel Siaga di Semarang untuk singsingkan lengan baju menangkan Pilpres 2024. #Polhuk #AdadiKompas 

https://t.co/mvLLogJHVc",2,neutral
145,"Mngkn Anis cuma bisa tata kata, salah itung, dan kelebihan bayar, bkn begitu? @aniesbaswedan @aniesbaswedan @aniesbaswedan",0,negatif
146,"Si wowo masa lalu,saatnya kita pilih Pak Anies Baswedan insha Allah RI 1 2024 Aamiin....",1,positif
147,"@BnnAgus Gubernur Anies Baswedan banyak mendapat penghargaan pada masa jabatannya, dan maki dicintai warga seluruh Indonesia karena reputasi dan kejujurannya",1,positif
148,"Ingat gk ada jnazah yg di tolak di sembayngkan di masjid,udahlh mau di bungkus apapun anis,tdk akn pernah jadi presiden",1,positif
149,"Ada yang lain gorengannya, cari yang visioner gitu, tim hore sama dengan yang didukungnya persis sama kerusakan otaknya akibat suka monton b****",0,negatif
150,Bikkn patung bukan budaya buat hilangin sejarah yaitu buku2,0,negatif
151,bener bener betul bang... pdip ga pd,0,negatif
152,"Ini bukan Hoax, ini👇👇👇👇 jejak digital Prestasi @aniesbaswedan",0,negatif
153,"Saya mau Angkat lagi Rekam Jejak Pak @aniesbaswedan selama memimpin DKI. Agar Rakyat Tahu, bahwa Kl Pak Anies Bicara, bukan hanya janji atau angan2. Tapi sudah 𝕋𝔼ℝ𝔹𝕌𝕂𝕋𝕀. 

𝟙. 𝔸𝕀ℝ 𝔹𝔼ℝ𝕊𝕀ℍ 𝔻𝔸ℕ 𝕄𝕌ℝ𝔸ℍ. (Kebutuhan Dasar Manusia? ☑︎",1,positif
154,Pak Anies Baswedan AHY pasangan mantaaaap,2,neutral
155,"Kalau Anies Baswedan jadi presiden saya pastikan akan ada kematian massal karena serangan jantung. Yuk dukung Anies Baswedan jadi presiden biar negara kita bebas polusi, bebas korupsi, bebas kolusi dan lebih penting lagi bebas dari keturunan PKI.",0,negatif
156,"Maling teriak maling
NKRI tidak lah penjilat
Karena bela negara
Beda sama kalian
KAmpret DRUNgu
Sepertinya kalian
Seperti penjajah 
Modal PROVOKASI 
hari gini masih ada
Orang GOH BELOK 
Untuk negaranya SENDIRI

RUSAKnya OTAK
@aniesbaswedan",0,negatif
157,Ini bukti fakta tidak terbantahkan,1,positif
158,Ini prestasi terbaik,0,negatif
159,Pilgub DKI kemarin apa kabar? Ada lho  jenazah nenek2 Di telantarin karena beda pilihan. Dan Lu ngomong Persatuan.,0,negatif
160,"JANGANKAN gagasan
Yang nyata aja @aniesbaswedan
DKI DIBUAT HANCUR
kota kecil pinggir laut
Terjepit kota Tangerang
Kota Jabar Depok &amp; Bekasi

Bisa jelaskan PRESTASINYA
Sehebat apapun kata kata
Tidak berlaku untuk eksekusi
Yang tidak teralisasi

Ya iya di terima
Didepan dibelakang",0,negatif
161,Rakyat negeri ini gak membutuhkan orang spt Gerung...mubadzir..😝😝😝,1,positif
162,"😊
JANGANKAN gagasan
Yang nyata aja @aniesbaswedan
DKI DIBUAT HANCUR
kota kecil pinggir laut
Terjepit kota Tangerang
Kota Jabar Depok &amp; Bekasi

Bisa jelaskan PRESTASINYA
Sehebat apapun kata kata
Tidak berlaku untuk eksekusi
Yang tidak teralisasi
PAHAM kan maksudya

Dasarnya RUSAK",0,negatif
163,"Tuhan punya cara ks Anis jd gub DKI biar kita tau siapa dia sebenarnya yg ternyata ga bisa kerja spy jgn dipilih jadi presiden, bayangkan klo dia jd presiden akan hancur negeri ini.  @aniesbaswedan harap g usah nyapreslah kita dh melek, Indonesia ga butuh anda biar yg lain aja",1,positif
164,Penggantinya beliau kelak @aniesbaswedan semoga nanti menjadi Presiden RI 2024,1,positif
165,"Sementara itu, Ketua Presidium ANIES La Ode Basir meminta semua relawan kompak. Dia menegaskan semua simpul relawan memiliki posisi dan kedudukan yang sama dalam perjuangan memenangkan Anies sebagai presiden.
#AniesBaswedan

https://t.co/hr4SY0JnOk",1,positif
166,Mantap Pak Anies.Sapalagi yang akan menghagai.Bangsa ini.Kalau bukan kita sendiri yang memulainya.,1,positif
167,Cebong dikolam taik langsung bereaksi..  🐸🐸🐸,0,negatif
168,Hahaha...punya otak dipake dong..yakin lu berani ngomong gitu?..bisa2 lu di ade armandokan...nyerang2 orang tanpa alasan meski cuma verbal bs dipidanain lu..begok kok dipelihara..,0,negatif
169,Aamiin yaa Rabbal a’alamiin,0,negatif
170,INSHA ALLOH PAK ANIES BASWEDAN AKAN DIMENANGKAN OLEH RAKYAT PADA PILPRES 2024. AAMIIN,1,positif
171,Ikut2an UI ya sebelum nya kalian kaya Babi kenyang tak berkutik gegara Ijazah pak de,0,negatif
172,Maaf pak FZ.. kelihatan nya PS sudah tidak ingin didukung oleh Ummat Islam yg mendukungnya di 2019.. kata PS kami ini intoleran dan radikal.. karena itu kami beralih kelain hati yaitu akan dukung Bapak @aniesbaswedan …🙏🙏🙏🙏,0,negatif
