tweet;label;svm;nb
prabowo cerdas nini sempat ndan mjd wapres ganjarpranowo;0;0;1
sangpejuank ganjarpranowo hahaa makan hoax;0;0;0
ch chotimah ganjarpranowo ridwankamil aniesbaswedan tentu anggar dprd knapa lu diam dprd bayar lo dprd;0;0;0
oposisicerdas periode loch ganjarpranowo bicara entas miskin rakyat kinerna lo;0;0;0
antitesa ahok anies sengaja mangkrakan tinggal ahok aniesbaswedan ganjarpranowo komeng championsleague monas cipung madrid agnes inzaghi bima haaland napoli sahur alvarez cancelo koruptor;0;0;0
ganjarpranowo disporaparjtg solusi sibuk citra lintas daerah;0;0;1
ahmadfa yasminemirzha ganjarpranowo aniesbaswedan yupzz;0;0;0
vita avp ganjarpranowo cie nini jeles cie lali ambek aki;0;0;0
ch chotimah aniesbaswedan satriohendri jokowi pdi juang puanmaharani ri ganjarpranowo sakit nul pdi usung prabowo ganjar lengkap cerita;0;0;0
bungkustukang ganjarpranowo ridwankamil knapa kang emil nongol medsos elektabilitasnya arsitektur politikus usung golkar knapa manfaat capres wapres prestasi;0;0;1
bernadusadam ganjarpranowo nikmat empuk kursi;0;0;0
lekmarteg ganjarpranowo fakta bangsa hanyak andal parawisata kuliner sda tampa sda bangkrut pasar asai barang china;0;0;1
thebest aryprasetyo herdi ganjarpranowo nakula al las alextham anak ogi arindra doel denni sauya dm n byl ch chotimah firzahusainid lemah usung yohanies nsama dukung nakun thebest nlemah nklaim prestasi kerja nbeli piagam tanah abang;0;0;0
zul hasan ganjarpranowo lihat;0;0;1
sahabatguru ganjarpranowo senyum budak yaman super duper bloon;0;0;1
diri orang sila hubung telp whatsapp email proses urus input data ptperorangan ganjarpranowo prabowo aniesbaswedan puanmaharani pilpres;0;0;0
bachrum achmadi ch chotimah aniesbaswedan ganjarpranowo buset deh bungul;0;0;0
ganjarpranowo jaman citra modal;0;0;0
kayakuwek engelenproperty ganjarpranowo hary tanoe ngapaian heru bikin bijak larang jakarta asemm lo anies;0;0;0
metro tv jokowi ganjarpranowo prabowo aniesbaswedan korupsi bahas metro;0;0;0
andreassolusi prabowo ganjarpranowo orang;0;0;1
dhemit is back ganjarpranowo jaga adik sakit sekolah tinggal siswa ajar rajin sekolah tara iba kasihan dll lulus;0;0;0
ganjarpranowo mbok yao ora ngapusi tho mek ngene;0;0;0
abdrohi indrade roeslan restty cayah ganjarpranowo begitu kau benci islam ulama heran kau lahir rahim anjink lacur;0;0;0
adihamza indrade roeslan restty cayah ganjarpranowo lie islam islam ajar lo ajar gank percaya lihat bahasa lo;0;0;0
anies onta yaman aneh fitnah perintah aniesbaswedan ganjarpranowo inisial riko simanjuntak ark cwts selamat psm chavez bismillah april transgender april mop hunter seventeen kostee epstein;0;0;0
pakyuli breliann ganjarpranowo masak hasil daging kurban siswa sekolah;0;0;0
munir timur bospurwa ganjarpranowo wawas rendah;0;0;0
ganjarpranowo jokowi deeppurple orang fan grup band band bentuk;0;0;0
arthamilli engelenproperty ganjarpranowo hary tanoe erti konteks;0;0;0
muhiqr indikasi ganjarpranowo indikasi;0;0;0
vhariadim ganjarpranowo hary tanoe tunggu serang mas motto lo jual gue beli;0;0;0
mamang opik ganjarpranowo ch chotimah lari akap;0;0;0
mnsyulee ganjarpranowo cocok anies;0;0;1
waspada adi napitupulu hina petaka ganjarpranowo prabowojadikandidatcapres amienrais aniesbaswedan pdip;0;0;0
ch chotimah ganjarpranowo tonton standup komedi wkwkwkkwwkkwkw;0;0;0
dasar hasil survei baru populi center elektabilitas prabowo subianto unggul ganjar pranowo anies baswedan semuadukungprabowo manutjokowi prabowo subianto;0;0;1
orisaorisi anakbaukencurr nakula ganjarpranowo kadrun lawan kapir nsoalnya mayoritas dukung ahok;0;0;0
sigmahalim munir timur ganjarpranowo detik lo tunjuk tweet ane salah point nlogika jalan tong ntambah bingung deh lo;0;0;0
youtubeilc prabowo aniesbaswedan ganjarpranowo kalah;0;0;0
ch chotimah ganjarpranowo coba dana dikelilingin wkwkwk using biaya;0;0;0
gunawan riakeynou joncyjonacta aniesbaswedan prabowo ganjarpranowo jokowi amit jabang bayi mertua diktator pahlawan;0;0;0
nohceukenohh ch chotimah yurissa samosir ganjarpranowo gua lo rendah wkwkwk lo anggap anies pintar wkwkwk gua kentuut;0;0;0
gunromli ganjarpranowo jokowi ganjariancom terus export pasir;0;0;0
anak ogi ganjarpranowo wkwk percaya diri surveynya nyinyir anis narasi kompak buzer lai banget survey bayar;0;0;0
kakekhalal teman partai bilang ganjarpranowo prestasi mimpin jateng;0;0;1
dimasbravia rismawidiono ganjarpranowo biasain baca;0;0;1
kemenpu ganjarpranowo mbok menowo mireng;0;0;0
veelaarhie aniesbaswedan ganjarpranowo aaah veela cocok lho berx;0;0;0
martinluth ganjarpranowo gantung isi kiyai ulama jemaah alir nusantara syah sekuler liberal manggut dengar;0;0;1
ganjarpranowo guru murid ngibul;0;0;1
laga paksa henti pasuk menit ricuh stadion laga ist persissolo psissemarang ganjarpranowo via tribunnews;0;0;0
ganjarpranowo kabar piala dunia selamt gagal;0;0;1
ganjarpranowo ganjarist ind jokowi model kau bela presiden sampah jadi hias bau sampah buang tempat;0;0;0
irwan divhumas polri ganjarpranowo boca kayak langsung matiin gas bikin risih mana;0;0;0
kang jo hae munir timur aniesbaswedan ganjarpranowo pilih didik aniesbaswedan pikir strategi gaet kelas didik;0;0;0
anakkolong listyosigitp ganjarpranowo divhumas polri kgk duit malas;0;0;0
ganjarpranowo presiden suka bohong;0;0;1
dika sitorus rigalfatih ganjarpranowo wkwkwk muka gila dro;0;0;0
sudady harrisbarus ganjarpranowo buzer duit kharam hasil judi beli rokok makan itu puluh main judi barang kharom sehat asudahlah inti niat;0;0;0
ganjarpranowo wujud kah hasil pas kampanye janji;0;0;1
valhallaah jokowi yaqutcqoumas kemendagri mohmahfudmd budimandjatmiko ganjarpranowo gibran tweet bobbynasution ridwankamil aji korupsi rakyat sabar jujur itu fakta;0;0;0
ch chotimah ganjarpranowo tolak panggil kpk;0;0;0
ganjarpranowo den percaya;0;0;1
sukardi aniesbaswedan ganjarpranowo ekowboy anies suka olah raba nlebih sehat titit;0;0;0
jamesbontot ganjarpranowo gaak bahaya teh;0;0;0
kasihan survey tanding panik sebar fitnah henti calon surveynya capres prabowo ganjarpranowo aniesbaswedan demokrasidikebiri;0;0;0
yasminemirzha ganjarpranowo aniesbaswedan mantap;0;0;1
geloraco ganjarpranowo banget kepala sekolah guru sensitif patut henti;0;0;1
thet ntrys ganjarpranowo njangan banding wan sumur sis nitu banding kantong kresek daur ulang biji nikel lho;0;0;0
thebest aryprasetyo herdi ganjarpranowo nakula al las alextham anak ogi arindra doel denni sauya dm n byl ch chotimah firzahusainid sdm lemah ntapi jelek negeri negeri npadahal cari nafkah hidup negeri nkalian waras;0;0;0
ganjarpranowo citra pikir gagas aneh ngebet capres ajar aniesbaswedan;0;0;0
ch chotimah ganjarpranowo tolak ken njiancok;0;0;0
ganjarpranowo kadrun koalisidelapantriliun semangkin gelonjotan bin ngungsep;0;0;0
samsyungg clown mui glhindu ganjarpranowo yaqutcqoumas salah raya salah istimewa;0;0;1
ganjarpranowo hary tanoe ekonomi jateng wkkwk;0;0;1
eddy widodo ganjarpranowo berdikari tahi;0;0;1
misterrumball varalijoy airindatanglagi ganjarpranowo masak presiden teman koruptor bansos;0;0;1
breliann ganjarpranowo iuaran siswa siswi masalah;0;0;0
alat komunikasi milik orang sepeda jokowi capres aniesbaswedan basuki btp hotmanparis pdiperjuangan mahfudmd matanajwa kompastv ganjarpranowo;0;0;0
ganjarpranowo ch chotimah urus warga den;0;0;0
ch chotimah ganjarpranowo buzerp sangkut anies jelek bagus sangkutin ganjar hebat;0;0;0
che palma patarsilit ganjarpranowo jilat teross;0;0;0
saefudi tifsembiring jokowi ganjarpranowo jokowi buat bangsa negara diterusin amblas tanah;0;0;1
fanan ganjarpranowo dasar otak cabul ngeres;0;0;0
roytar dennysiregar prabowo anis enggak ganjar pranowo;0;0;1
ch chotimah ganjarpranowo cabe cabe kakek;0;0;0
aaeman ganjarpranowo otak daya tangkap pilih politik standar;0;0;1
metro tv jokowi ganjarpranowo prabowo gibran tweet karyawan metro ikut surya paloh surya paloh dukung capres anis baswedan tahu;0;0;0
ung manies ganjarpranowo bosan enggak usah tonton simpel bermedsos kapai bikin sulit;0;0;0
garis ralucu ganjarpranowo nama prediksi salah;0;0;0
rawa cinta sepakbola rindu suara sumbang teriak konstitusi palestina aman pksejahtera pdi juang knpiharis muipusat bpk ganjarpranowo bntuk colong kah kemarin cari panggung doang;0;0;0
ganjarpranowo alah citra;0;0;0
ayra rahmah ganjarpranowo tampak muka;0;0;0
catat ali reentis tgh ganjarpranowo mohmahfudmd bajilak kowe ojo ngunu banget karo konco ngko indak onok ngutangi gantung;0;0;0
ganjarpranowo aniesbaswedan;0;0;0
ruhutsitompul ruhut sitompul kayak benci anis baswedan anis baswedan pilih kompetisi pilpres biar prabowo subianto ganjar pranowo anis baswedan kompetisi sportif sehat jujur adil;0;0;1
popularitas prabowo subianto sebagacai calon presiden capres roket lampau ganjar pranowo anies baswedan semuadukungprabowo manutjokowi prabowo subianto;0;0;1
ganjarpranowo gagas nyali berani populer lembaga survey narasi bangun jujur ciri pempimpin bahasa youtuber nikmat narasi cipta zaman digital gaya muslihat tak guna ter record noel;0;0;1
gunromli ganjarpranowo jokowi ganjariancom iya rakyat susah lumayan sambung hidup;0;0;0
win ardie ganjarpranowo emak emak turu gunung lo minggir deh;0;0;1
polemik stadion jis bangga anies sulit bikin resah warga aniesbaswedan ganjarpranowo komeng championsleague monas cipung madrid agnes inzaghi bima haaland napoli sahur alvarez cancelo koruptor;0;0;0
anakkolong ganjarpranowo prabowo gibran tweet jokowi penting rakyat penting negara nomor sekian banteng;0;0;1
gibran tweet pks sptnya solid ayo gibran tweet pegang jabat jurkam pdi juang menang ganjarpranowo buka polling bukti setia loyal garis partai sabda megawati urraa;0;0;1
detikcom nyoblos pakai atuh ncoblos pakai paku bahaya cari aman aman ganjarpranowo;0;0;0
ch chotimah ganjarpranowo gaji lu chinul;0;0;0
rstmbcl ganjarpranowo usung;0;0;1
aditbuditia ganjarpranowo twitter;0;0;0
big tipu pak jk ganjarpranowo basuki btp;0;0;0
kan ganjarpranowo salah masuk gigi;0;0;0
bagussprakosoo ganjarpranowo diviralin beres;0;0;0
bungkustukang ganjarpranowo suruh pilih ganjar prabowo pilih prabowo suruh pilih prabowo anies pilih anies;0;0;1
cnnindonesia batal deh pilih orang ganjarpranowo wkwkwkwk;0;0;0
rudyfarthuack ndaxwz ganjarpranowo dennysiregar mampir prabowopedia;0;0;0
sigmahalim munir timur ganjarpranowo lo nyaut tweet ane tong ane narasi lo kagak bingung gagah nunjuk tong bingung ntweet ane salah;0;0;0
samuelpharahap bospurwa prabowo ganjarpranowo metro tv pranandapaloh ngedabrus again;0;0;0
dhemit is back ganjarpranowo visi misi capres enggak jelas malas pilih;0;0;1
knpiharis jokowi puanmaharani ri prabowo ganjarpranowo aniesbaswedan pilih anies baswedan prisident insyaallah indonesia makmur;0;0;1
dhemit is back assya assyafiq ganjarpranowo gub anies;0;0;0
dhemit is back ganjarpranowo muka gila gubernurnyee jateng parah njangan salah pilih deh rezim korup;0;0;0
dwioktariyadi ganjarpranowo ras body shaming;0;0;0
ch chotimah ganjarpranowo jual dukung santri masuk kategori politik identitas;0;0;0
ganjarpranowo anies keren;0;0;1
ganjarpranowo kuno kampanye model;0;0;0
ganjarpranowo jabat publik suka upload giat orang pengin sanjung;0;0;1
yaniarsim gerindra dpp pp sandiuno ganjarpranowo kau abu abu uno kau terang laalalalaala;0;0;0
aual mubarok eghy new daawamm anas kurniawan ayasfandi lempager jokowi ganjarpranowo aniesbaswedan prabowo kayak ppk;0;0;0
gunromli ganjarpranowo jokowi ganjariancom presiden;0;0;0
olvaholvah nasdem pranandapaloh aniesbaswedan jokowi ganjarpranowo prabowo kemenkesri kemdikbud ri kemenkeuri kemensosri drevachaniago besar oligarki belakang ngibul suka cawe cawe;0;0;0
abdrohi bumiputra nkri davidlintau restty cayah ganjarpranowo hasil silang anjink kodok;0;0;0
itsamareguzel ganjarpranowo direspon tag akun twitter pemda;0;0;0
ganjarpranowo poldajateng humasbatang sangka gelar piye;0;0;0
leonita lestari jokowi ganjarpranowo anies jokowi ketemu balik mantan anies jubir pencapresan jokowi;0;0;1
alitopanbro firzahusainid bagus erickthohir kayak for president faham ekonomi dll tinggal sanding ganjarpranowo pro kang erick;0;0;1
marahichsan politik cerdas integritas ganjarpranowo budi gunawan prabowo mohmahfudmd aniesbaswedan yennywahid pdi juang nasdem jokowi cakiminow airlangga hrt zul hasan pksejahtera agusyudhoyono msaid didu sandiuno erickthohir knpiharis;0;0;0
stefanantonio typical dukung ganjarpranowo sibuk jelek aniesbaswedan jual prestasi ganjar jual adu prestasi ganjar kalah anies anies label radikal intoleran dll gubernur contoh;0;0;0
puspita eka hasbil lbs ganjarpranowo orang sok;0;0;0
abu waras ganjarpranowo aniesbaswedan moga sayang viral lanjut betah drun;0;0;1
gilang ahm ganjarpranowo hary tanoe aniesbaswedan salah otak rusak;0;0;0
creeppeak gerindra dennysiregar arah jokowi prabowo arah dennysiregar ganjarpranowo tinggal pilih;0;0;0
ainurohman ganjarpranowo baca;0;0;0
setyosby narasi winda ganjarpranowo isu basi;0;0;0
fsuryawijaya ganjarpranowo gpnya lumayan bro mesin partai gua lihat arah;0;0;0
b hendratmo abanggionih hokkycaraka ganjarpranowo partburunggalak has meliala murtadhaone sussie gibran tweet tita jurus jinak;0;0;0
tukangrosok ganjarpranowo semenjak senyum ubah kwitansi;0;0;1
ganjarpranowo senyum doang;0;0;0
hendrygoenaone ch chotimah satriohendri aniesbaswedan ganjarpranowo gunromli ferdinand mpu kayak;0;0;0
ganjarpranowo ora komen style mangkelee emak peace;0;0;0
belah ganjarpranowo prabowo dukung anies terus serang jokowi isu isu murah aksi demonstrasi bayar sungguh sadar dampak buruk anies;0;0;1
ganjarpranowo indonesia tanah air beta pusaka abadi jaya;0;0;1
nagao yonno aniesbaswedan ganjarpranowo erickthohir nakula tatakujiyati helmifelis chusnuich log pleciden ubah;0;0;0
pantas yunartowijaya surpe menang ganjarpranowo coba lihat sttsnya;0;0;0
anakkolong ganjarpranowo prabowo gibran tweet penting samsek beban sandera apa enteng niat bangsa negara;0;0;0
ganjarpranowo wakil erickthohir;0;0;1
gtobing aniesbaswedan ccicpolri listyosigitp dukung ganjarpranowo lapor polri lupa bawa bukti masuk ranah hina benci sex bantu lacak orang lapor sabar;0;0;0
ardipriyanto ganjarpranowo masuk kantong aspal ancuur;0;0;0
ekoboy ch chotimah aniesbaswedan ganjarpranowo mantap;0;0;0
putraerlangga ayo followers ganjarpranowo aniesbaswedan sila mampir;0;0;0
anak ogi ganjarpranowo rawan gibran dukung prabowo;0;0;1
maanusia bodoh ganjarpranowo kuota smartphone smart usernya;0;0;0
kangngabei munir timur ganjarpranowo salah logika jalan nkamu mikir etik upload masak salah nlogikamu jalan;0;0;0
aan muba ganjarpranowo gus raharjo dinihrdianti wongkedu mantablah;0;0;1
stefanantonio ganjarpranowo pilih tugas partai jilid keledai masuk lobang;0;0;0
ch chotimah ganjarpranowo nhaqul;0;0;0
ganjarpranowo citra mulu kerja becus kemarin mikir cegah genang kayak sibuk caper ksana kmari kah;0;0;0
menteri tahan calon presiden capres prabowo subianto anggap anies baswedan ganjar pranowo musuh tarung pilpres sindonews news;0;0;1
loketpaytren ganjarpranowo dinaikin drun;0;0;0
anggorosabdo sutanmangara ilctalkshow ndang bikin surpe bang anggorosabdo den ganjarpranowo menang;0;0;0
holigan id ganjarpranowo keren;0;2;1
valosenadya profesorsuteki ramlirizal reflyhz fadlizon undip unpad ugmyogyakarta indonesia milik syarat kau jar ganjarpranowo dikadalin singapura negara seuprit jateng luas duduk besar indonesia sda miskin jawa;0;0;0
ganjarpranowo gibran tweet bankmandiri kartu atm tarik tunai mesin atm;0;0;0
veelaarhie bahasa kayak anjeng maklum dukung ganjarpranowo;0;0;0
indonesia sanggup capres pilih laksana aniesbaswedan prabowo ganjarpranowo;0;0;1
tuju dennysiregar ganjarpranowo;0;0;1
gunromli ganjarpranowo jokowi ganjariancom bijak rusak alam;0;0;0
fnlwndy ganjarpranowo ajar buka uud;0;0;1
ch chotimah ganjarpranowo hahahahaha percaya kader kebbo maling nmrk puas dosa;0;0;0
felipea ganjarpranowo jateng warga miskin jalan rusak jabat gubernur kapai keliling nusantara fix tugas partai;0;0;1
